SCH_NAME,ADDRESSES,NCESSCH,URL,QUERY_RANKING
SCH_NAME,ADDRESSES,NCESSCH,URL,QUERY_RANKING
Millard McCollam Elementary,"3311 Lucian Ave., San Jose, CA 95127",60231000112,,1
Donald J. Meyer Elementary,"1824 Daytona Dr., San Jose, CA 95122",60231000113,,1
Ocala Middle,"2800 Ocala Ave., San Jose, CA 95148",60231000116,,1
Thomas P. Ryan Elementary,"1241 McGinness Ave., San Jose, CA 95127",60231000120,,1
San Antonio Elementary,"1721 E. San Antonio St., San Jose, CA 95116",60231000121,,1
William Sheppard Middle,"480 Rough and Ready Rd., San Jose, CA 95133",60231000122,,1
Ben Painter Elementary,"500 Rough and Ready Rd., San Jose, CA 95133",60231008782,,1
KIPP Heartwood Academy,"1250 S. King Rd., San Jose, CA 95122",60231011444,,1
Lrng in an Urban Comm with High Achievement (L.U.C.H.A.),"1711 E. San Antonio St, San Jose, CA 95116",60231011445,,1
Renaissance Academy,"1720 Hopkins Dr., San Jose, CA 95122",60231011446,,1
Adelante Dual Language Academy,"2999 Ridgemont Dr., San Jose, CA 95127",60231011793,,1
Russo/McEntee Academy,"2851 Gay Ave., San Jose, CA 95127",60231012063,,1
Alpha: Blanca Alvarado Middle,"1601 Cunningham Ave., San Jose, CA 95122",60231012989,,1
Renaissance at Mathson,"2050 Kammerer Ave., San Jose, CA 95116",60231013126,,1
Kipp Prize Preparatory Academy,"1250 S. King Rd., San Jose, CA 95122",60231013778,,1
Adelante Dual Language Academy II,"1970 Cinerella Ln., San Jose, CA 95116",60231014147,,1
Alview Elementary,"20513 Rd. 4, Chowchilla, CA 93610",60236000125,,1
Dairyland Elementary,"12861 Ave. 18 1/2, Chowchilla, CA 93610",60236000126,,1
Alvina Elementary Charter,"295 W. Saginaw Ave., Caruthers, CA 93609",60237000127,,1
Alvord Continuation High,"3606 Pierce St., Riverside, CA 92503",60243000128,,1
Arizona Middle,"11045 Arizona Ave., Riverside, CA 92503",60243000129,,1
Arlanza Elementary,"5891 Rutland Ave., Riverside, CA 92503",60243000130,,1
Collett Elementary,"10850 Collett Ave., Riverside, CA 92505",60243000131,,1
Foothill Elementary,"8230 Wells Ave., Riverside, CA 92503",60243000132,,1
La Granada Elementary,"10346 Keller Ave., Riverside, CA 92505",60243000133,,1
La Sierra High,"4145 La Sierra Ave., Riverside, CA 92505",60243000134,,1
Loma Vista Middle,"11050 Arlington Ave., Riverside, CA 92505",60243000135,,1
Myra Linn Elementary,"10435 Branigan Way, Riverside, CA 92505",60243000136,,1
Norte Vista High,"6585 Crest Ave., Riverside, CA 92503",60243000137,,1
Allan Orrenmaa Elementary,"3350 Fillmore St., Riverside, CA 92503",60243000138,,1
Terrace Elementary,"6601 Rutland St., Riverside, CA 92503",60243000139,,1
Twinhill Elementary,"11000 Campbell Ave., Riverside, CA 92505",60243000140,,1
Wells Middle,"10000 Wells Ave., Riverside, CA 92503",60243000141,,1
Rosemary Kennedy Elementary,"6411 Mitchell Ave., Riverside, CA 92505",60243008260,,1
S. Christa McAuliffe Elementary,"4100 Golden Ave., Riverside, CA 92505",60243008784,,1
Promenade Elementary,"550 Hamilton Dr., Corona, CA 91719",60243009299,,1
Valley View Elementary,"11750 Gramercy Pl., Riverside, CA 92505",60243009514,,1
Ysmael Villegas Middle,"3754 Harvill Ln., Riverside, CA 92503",60243010578,,1
Phillip M. Stokoe Elementary,"4501 Ambs Dr., Riverside, CA 92505",60243011845,,1
Lake Hills Elementary,"16346 Village Meadow Dr., Riverside, CA 92503",60243012032,,1
Alvord Alternative Continuation High,"10368 Campbell Ave., Riverside, CA 92505",60243013134,,1
Hillcrest High,"11800 Indiana Ave., Riverside, CA 92503",60243013184,,1
Summit Elementary,"10368 Campbell Ave., Riverside, CA 92505",60243014022,,1
Summit Secondary,"10368 Campbell Ave., Riverside, CA 92505",60243014032,,1
Gateway,"4501 Ambs Dr., Riverside, CA 92505",60243014097,,1
North Star Independent Study,"525 Independence Dr., Sutter Creek, CA 95685",60245006975,,1
Independence High (Continuation),"525 Independence Dr., Sutter Creek, CA 95685",60245008785,,1
Amador High,"330 Spanish St., Sutter Creek, CA 95685",60245008786,,1
Argonaut High,"501 Argonaut Ln., Jackson, CA 95642",60245008787,,1
Ione Elementary,"415 S. Ione St., Ione, CA 95640",60245008788,,1
