NCESSCH	URL_2019
550006000000.0	https://www.cwasd.k12.wi.us/schools/virtual_school.cfm
530033000000.0	https://summitps.org/
510415000000.0	https://ycsd.yorkcountyschools.org/YHS
510009000000.0	https://www.k12albemarle.org/school/CPCS/Pages/default.aspx
510009000000.0	https://www.k12albemarle.org/school/muhs/Pages/default.aspx
490012000000.0	https://providencehall.com/
490007000000.0	http://www.davinciacademy.org/
490004000000.0	https://www.spectrumcharter.org/
483873000000.0	https://schools.saisd.net/page/177.homepage
483873000000.0	https://schools.saisd.net/page/023.homepage
483873000000.0	https://schools.saisd.net/page/022.homepage
483873000000.0	https://schools.saisd.net/page/142.homepage
483873000000.0	https://schools.saisd.net/page/059.homepage
483873000000.0	https://schools.saisd.net/page/162.homepage
483873000000.0	https://schools.saisd.net/page/055.homepage
483873000000.0	https://schools.saisd.net/page/049.homepage
483873000000.0	https://schools.saisd.net/page/005.homepage
483873000000.0	https://schools.saisd.net/page/179.homepage
483873000000.0	https://schools.saisd.net/page/047.homepage
483873000000.0	https://schools.saisd.net/page/112.homepage/
482526000000.0	https://www.kellerisd.net/kcal
482364000000.0	https://www.houstonisd.org/chrysalisms
482364000000.0	http://www.houstonisd.org/Domain/8382
482364000000.0	http://www.houstonisd.org/Domain/13578
482364000000.0	https://www.houstonisd.org/EastEarlyHS
482364000000.0	https://www.houstonisd.org/liberty
482364000000.0	https://www.houstonisd.org/Domain/22641
482364000000.0	http://www.houstonisd.org/Domain/20266
482364000000.0	https://www.houstonisd.org/williamsms
482364000000.0	https://www.houstonisd.org/wesleyelem
482364000000.0	http://www.houstonisd.org/Domain/22639
482364000000.0	https://www.houstonisd.org/lanier
482364000000.0	http://www.houstonisd.org/Domain/641
482364000000.0	http://www.houstonisd.org/Domain/13650
482142000000.0	http://www.uplifteducation.org/Domain/2464
482028000000.0	https://www.gisd.org/collegiate
482028000000.0	https://www.gisd.org/
482028000000.0	https://www.gisd.org/Domain/103
481623000000.0	https://www.dallasisd.org/allen
481323000000.0	https://www.chisd.net/
480145000000.0	http://www.ptaaschool.org/home
480145000000.0	http://www.ptaaschool.org/
480143000000.0	https://www.uttyler.edu/palestine/
480143000000.0	http://www.uttia.org/schools/Longview/
480141000000.0	http://www.bobhopeschool.org/Bob_Hope_Elementary/bob_hope_elementary
480140000000.0	http://www.sfasu.edu/charter_school/
480029000000.0	https://seashorecharterschools.com/
480029000000.0	https://seashorecharterschools.com/
480028000000.0	https://rhodesschool.org/
