NCESSCH	URL
550732001285	http://brompton.kusd.edu/
360095606025	http://bronxacademyofpromise.com/
360011305688	http://bronxexcellence.org/
170143106434	http://bronzeville.cps.edu
170993005889	http://bronzeville.cps.edu/
360098906097	http://brooklyn-scholars.org/
360004504493	http://brooklyncharter.org/
360101506206	http://brooklyndreams.org/
360103306240	http://brooklyneastcollegiate.uncommonschools.org/
360011605708	http://brooklynexcelsior.org/
480026811128	http://brooksacademy.org/
480026813121	http://brooksacademy.org/
290002403184	http://brooksidecharter.org/middle-school-curriculum/
120018004469	http://broward.org/
120018007265	http://broward.org/
360098406165	http://brownsvillecollegiate.uncommonschools.org/
63480005868	http://bsfcs.org/
60945014024	http://bsoa.gwusd.org/
90021701750	http://btwanewhaven.org/
360004404845	http://buckskilltennis.com/
360007105538	http://buffalounitedcharterschool.org/
360010505602	http://buffsci.org/
69103511442	http://bullischarterschool.com/
220084002346	http://bunche.jpschools.org/
480139412121	http://burnhamwood.org/?page_id=23
480003707880	http://burnhamwood.org/?page_id=279
260025101229	http://burtonglencharteracademy.org/
60006412042	http://butterfield.portervilleschools.org/
40040401993	http://bwcs.k12.az.us/
40040301989	http://bwcs.k12.az.us/
62271012903	http://ca.greendot.org/collegeprep
61839010538	http://ca.greendot.org/inglewood/
62271011636	http://ca.greendot.org/jackierobinson/
62271012690	http://ca.greendot.org/jefferson/
62271013787	http://ca.greendot.org/jemison
62142008504	http://ca.greendot.org/leadership/
62271012248	http://ca.greendot.org/locke
62271012905	http://ca.greendot.org/ochoa
62271011313	http://ca.greendot.org/odlh
62271012939	http://ca.greendot.org/philliswheatley/
62271011635	http://ca.greendot.org/ralphbunche/
62271010836	http://ca.greendot.org/southla
62271010848	http://ca.greendot.org/venice
62271011640	http://ca.greendot.org/watts/
62271012935	http://ca.greendot.org/western/
62271012631	http://ca.greendot.org/westside/
63768013030	http://ca.insightschools.net/
62703013952	http://ca.insightschools.net/
62382013167	http://ca.insightschools.net/
60011607170	http://cac.chawanakee.k12.ca.us/
481242013187	http://calallenhigh.tx.cdh.schoolinsites.com/
260027501616	http://calhounhs.org/
60003406983	http://calicalmecac.org/school
62271013967	http://californiacollegiate.org/
40018201890	http://cambridgeacademyaz.com/
340076803261	http://camdencharter.com/
40088303411	http://caminomontessori.org/
40081303053	http://campverdeschools.org/
40075802766	http://candeoschools.com/
270032404271	http://cannonriverstemschool.org/
260026301273	http://cantoncharteracademy.org/
390147005705	http://cantoncollegeprep.org/
390027804818	http://capellaohio.com/
90022101803	http://capitalprepharbor.org/
360114406597	http://capitalprepharlem.org/
40025802079	http://cardenoftucson.org/
490017101460	http://careerpathhigh.org/
551449002210	http://caremin.org/care/
400079502830	http://carltonlanding.academy/
63462008578	http://carmichael.ofyschools.org/
450336001463	http://carolinaschoolforinquiry.org/
480144413146	http://carpediemwestwood.com/
320039000569	http://carsonmontessori.com/
370002702112	http://cartergwoodsonschool.org/
63384011195	http://carverartsandscience.org/
40089203012	http://casagrande.legacytraditional.org/
450390101616	http://casc.k12.com/
410883001658	http://cascadeheights.org/
260015200931	http://casman.manistee.org/
