
IDN Table for the Korean Language

TLD: .sap

Language Tag: ko

Language Description: Korean

Version: 1.0

Effective Date: 2012-03-29

Registry: SAP AG

The table below lists the characters allowed in the Unicode representation of IDNs associated with the Korean language. The "#" symbol denotes start of a comment that continues to the end of line.

The table presented here is in compliance with the ICANN Guidelines for the Implementation of Internationalized Domain Names Version 3.0 and is intended for publication in the IANA Repository of TLD IDN Practices, for the information of prospective holders of domains in .sap and for the users of resources within those domains. To avoid user confusion due to differing practices across TLD registries, SAP AG is using this IDN table currently in use for the already existing TLD .tel, courtesy of Telnic Limited.

U+002D # HYPHEN-MINUS
U+0030 # DIGIT ZERO
U+0031 # DIGIT ONE
U+0032 # DIGIT TWO
U+0033 # DIGIT THREE
U+0034 # DIGIT FOUR
U+0035 # DIGIT FIVE
U+0036 # DIGIT SIX
U+0037 # DIGIT SEVEN
U+0038 # DIGIT EIGHT
U+0039 # DIGIT NINE
U+0061 # LATIN SMALL LETTER A
U+0062 # LATIN SMALL LETTER B
U+0063 # LATIN SMALL LETTER C
U+0064 # LATIN SMALL LETTER D
U+0065 # LATIN SMALL LETTER E
U+0066 # LATIN SMALL LETTER F
U+0067 # LATIN SMALL LETTER G
U+0068 # LATIN SMALL LETTER H
U+0069 # LATIN SMALL LETTER I
U+006A # LATIN SMALL LETTER J
U+006B # LATIN SMALL LETTER K
U+006C # LATIN SMALL LETTER L
U+006D # LATIN SMALL LETTER M
U+006E # LATIN SMALL LETTER N
U+AD76 # HANGUL SYLLABLE GULM
U+AD7B # HANGUL SYLLABLE GULH
U+AD7C # HANGUL SYLLABLE GUM
U+AD7D # HANGUL SYLLABLE GUB
U+AD7F # HANGUL SYLLABLE GUS
U+AD81 # HANGUL SYLLABLE GUNG
U+AD82 # HANGUL SYLLABLE GUJ
U+AD88 # HANGUL SYLLABLE GWEO
U+AD89 # HANGUL SYLLABLE GWEOG
U+AD8C # HANGUL SYLLABLE GWEON
U+AD90 # HANGUL SYLLABLE GWEOL
U+AD9C # HANGUL SYLLABLE GWEOSS
U+AD9D # HANGUL SYLLABLE GWEONG
U+ADA4 # HANGUL SYLLABLE GWE
U+ADB7 # HANGUL SYLLABLE GWES
U+ADC0 # HANGUL SYLLABLE GWI
U+ADC1 # HANGUL SYLLABLE GWIG
U+ADC4 # HANGUL SYLLABLE GWIN
U+ADC8 # HANGUL SYLLABLE GWIL
U+ADD0 # HANGUL SYLLABLE GWIM
U+ADD1 # HANGUL SYLLABLE GWIB
U+ADD3 # HANGUL SYLLABLE GWIS
U+ADDC # HANGUL SYLLABLE GYU
U+ADE0 # HANGUL SYLLABLE GYUN
U+ADE4 # HANGUL SYLLABLE GYUL
U+ADF8 # HANGUL SYLLABLE GEU
U+ADF9 # HANGUL SYLLABLE GEUG
U+ADFC # HANGUL SYLLABLE GEUN
U+ADFF # HANGUL SYLLABLE GEUD
U+AE00 # HANGUL SYLLABLE GEUL
U+AE01 # HANGUL SYLLABLE GEULG
U+AE08 # HANGUL SYLLABLE GEUM
U+AE09 # HANGUL SYLLABLE GEUB
U+AE0B # HANGUL SYLLABLE GEUS
U+AE0D # HANGUL SYLLABLE GEUNG
U+AE14 # HANGUL SYLLABLE GYI
U+AE30 # HANGUL SYLLABLE GI
U+AE31 # HANGUL SYLLABLE GIG
U+AE34 # HANGUL SYLLABLE GIN
U+AE37 # HANGUL SYLLABLE GID
U+AE38 # HANGUL SYLLABLE GIL
U+AE3A # HANGUL SYLLABLE GILM
U+AE40 # HANGUL SYLLABLE GIM
U+AE41 # HANGUL SYLLABLE GIB
U+AE43 # HANGUL SYLLABLE GIS
U+AE45 # HANGUL SYLLABLE GING
U+AE46 # HANGUL SYLLABLE GIJ
U+AE4A # HANGUL SYLLABLE GIP
U+AE4C # HANGUL SYLLABLE GGA
U+AE4D # HANGUL SYLLABLE GGAG
U+AE4E # HANGUL SYLLABLE GGAGG
U+AE50 # HANGUL SYLLABLE GGAN
U+AE54 # HANGUL SYLLABLE GGAL
U+AE56 # HANGUL SYLLABLE GGALM
U+AE5C # HANGUL SYLLABLE GGAM
U+AE5D # HANGUL SYLLABLE GGAB
U+AE5F # HANGUL SYLLABLE GGAS
U+AE60 # HANGUL SYLLABLE GGASS
U+AE61 # HANGUL SYLLABLE GGANG
U+AE65 # HANGUL SYLLABLE GGAT
U+AE68 # HANGUL SYLLABLE GGAE
U+AE69 # HANGUL SYLLABLE GGAEG
U+AE6C # HANGUL SYLLABLE GGAEN
U+AE70 # HANGUL SYLLABLE GGAEL
U+AE78 # HANGUL SYLLABLE GGAEM
U+AE79 # HANGUL SYLLABLE GGAEB
U+AE7B # HANGUL SYLLABLE GGAES
U+AE7C # HANGUL SYLLABLE GGAESS
U+AE7D # HANGUL SYLLABLE GGAENG
U+AE84 # HANGUL SYLLABLE GGYA
U+AE85 # HANGUL SYLLABLE GGYAG
U+AE8C # HANGUL SYLLABLE GGYAL
U+AEBC # HANGUL SYLLABLE GGEO
U+AEBD # HANGUL SYLLABLE GGEOG
U+AEBE # HANGUL SYLLABLE GGEOGG
U+AEC0 # HANGUL SYLLABLE GGEON
U+AEC4 # HANGUL SYLLABLE GGEOL
U+AECC # HANGUL SYLLABLE GGEOM
U+AECD # HANGUL SYLLABLE GGEOB
U+AECF # HANGUL SYLLABLE GGEOS
U+AED0 # HANGUL SYLLABLE GGEOSS
U+AED1 # HANGUL SYLLABLE GGEONG
U+AED8 # HANGUL SYLLABLE GGE
U+AED9 # HANGUL SYLLABLE GGEG
U+AEDC # HANGUL SYLLABLE GGEN
U+AEE8 # HANGUL SYLLABLE GGEM
U+AEEB # HANGUL SYLLABLE GGES
U+AEED # HANGUL SYLLABLE GGENG
U+AEF4 # HANGUL SYLLABLE GGYEO
U+AEF8 # HANGUL SYLLABLE GGYEON
U+AEFC # HANGUL SYLLABLE GGYEOL
U+AF07 # HANGUL SYLLABLE GGYEOS
U+AF08 # HANGUL SYLLABLE GGYEOSS
U+AF0D # HANGUL SYLLABLE GGYEOT
U+AF10 # HANGUL SYLLABLE GGYE
U+AF2C # HANGUL SYLLABLE GGO
U+AF2D # HANGUL SYLLABLE GGOG
U+AF30 # HANGUL SYLLABLE GGON
U+AF32 # HANGUL SYLLABLE GGONH
U+AF34 # HANGUL SYLLABLE GGOL
U+AF3C # HANGUL SYLLABLE GGOM
U+AF3D # HANGUL SYLLABLE GGOB
U+AF3F # HANGUL SYLLABLE GGOS
U+AF41 # HANGUL SYLLABLE GGONG
U+AF42 # HANGUL SYLLABLE GGOJ
U+AF43 # HANGUL SYLLABLE GGOC
U+AF48 # HANGUL SYLLABLE GGWA
U+AF49 # HANGUL SYLLABLE GGWAG
U+AF50 # HANGUL SYLLABLE GGWAL
U+AF5C # HANGUL SYLLABLE GGWASS
U+AF5D # HANGUL SYLLABLE GGWANG
U+AF64 # HANGUL SYLLABLE GGWAE
U+AF65 # HANGUL SYLLABLE GGWAEG
U+AF79 # HANGUL SYLLABLE GGWAENG
U+AF80 # HANGUL SYLLABLE GGOE
U+AF84 # HANGUL SYLLABLE GGOEN
U+AF88 # HANGUL SYLLABLE GGOEL
U+AF90 # HANGUL SYLLABLE GGOEM
U+AF91 # HANGUL SYLLABLE GGOEB
U+AF95 # HANGUL SYLLABLE GGOENG
U+AF9C # HANGUL SYLLABLE GGYO
U+AFB8 # HANGUL SYLLABLE GGU
U+AFB9 # HANGUL SYLLABLE GGUG
U+AFBC # HANGUL SYLLABLE GGUN
U+AFC0 # HANGUL SYLLABLE GGUL
U+AFC7 # HANGUL SYLLABLE GGULH
U+AFC8 # HANGUL SYLLABLE GGUM
U+AFC9 # HANGUL SYLLABLE GGUB
U+AFCB # HANGUL SYLLABLE GGUS
U+AFCD # HANGUL SYLLABLE GGUNG
U+AFCE # HANGUL SYLLABLE GGUJ
U+AFD4 # HANGUL SYLLABLE GGWEO
U+AFDC # HANGUL SYLLABLE GGWEOL
U+AFE8 # HANGUL SYLLABLE GGWEOSS
U+AFE9 # HANGUL SYLLABLE GGWEONG
U+AFF0 # HANGUL SYLLABLE GGWE
U+AFF1 # HANGUL SYLLABLE GGWEG
U+AFF4 # HANGUL SYLLABLE GGWEN
U+AFF8 # HANGUL SYLLABLE GGWEL
U+B000 # HANGUL SYLLABLE GGWEM
U+B001 # HANGUL SYLLABLE GGWEB
U+B004 # HANGUL SYLLABLE GGWESS
U+B00C # HANGUL SYLLABLE GGWI
U+B010 # HANGUL SYLLABLE GGWIN
U+B014 # HANGUL SYLLABLE GGWIL
U+B01C # HANGUL SYLLABLE GGWIM
U+B01D # HANGUL SYLLABLE GGWIB
U+B028 # HANGUL SYLLABLE GGYU
U+B044 # HANGUL SYLLABLE GGEU
U+B045 # HANGUL SYLLABLE GGEUG
U+B048 # HANGUL SYLLABLE GGEUN
U+B04A # HANGUL SYLLABLE GGEUNH
U+B04C # HANGUL SYLLABLE GGEUL
U+B04E # HANGUL SYLLABLE GGEULM
U+B053 # HANGUL SYLLABLE GGEULH
U+B054 # HANGUL SYLLABLE GGEUM
U+B055 # HANGUL SYLLABLE GGEUB
U+B057 # HANGUL SYLLABLE GGEUS
U+B059 # HANGUL SYLLABLE GGEUNG
U+B05D # HANGUL SYLLABLE GGEUT
U+B07C # HANGUL SYLLABLE GGI
U+B07D # HANGUL SYLLABLE GGIG
U+B080 # HANGUL SYLLABLE GGIN
U+B084 # HANGUL SYLLABLE GGIL
U+B08C # HANGUL SYLLABLE GGIM
U+B08D # HANGUL SYLLABLE GGIB
U+B08F # HANGUL SYLLABLE GGIS
U+B091 # HANGUL SYLLABLE GGING
U+B098 # HANGUL SYLLABLE NA
U+B099 # HANGUL SYLLABLE NAG
U+B09A # HANGUL SYLLABLE NAGG
U+B09C # HANGUL SYLLABLE NAN
U+B09F # HANGUL SYLLABLE NAD
U+B0A0 # HANGUL SYLLABLE NAL
U+B0A1 # HANGUL SYLLABLE NALG
U+B0A2 # HANGUL SYLLABLE NALM
U+B0A8 # HANGUL SYLLABLE NAM
U+B0A9 # HANGUL SYLLABLE NAB
U+B0AB # HANGUL SYLLABLE NAS
U+B0AC # HANGUL SYLLABLE NASS
U+B0AD # HANGUL SYLLABLE NANG
U+B0AE # HANGUL SYLLABLE NAJ
U+B0AF # HANGUL SYLLABLE NAC
U+B0B1 # HANGUL SYLLABLE NAT
U+B0B3 # HANGUL SYLLABLE NAH
U+B0B4 # HANGUL SYLLABLE NAE
U+B0B5 # HANGUL SYLLABLE NAEG
U+B0B8 # HANGUL SYLLABLE NAEN
U+B0BC # HANGUL SYLLABLE NAEL
U+B0C4 # HANGUL SYLLABLE NAEM
U+B0C5 # HANGUL SYLLABLE NAEB
U+B0C7 # HANGUL SYLLABLE NAES
U+B0C8 # HANGUL SYLLABLE NAESS
U+B0C9 # HANGUL SYLLABLE NAENG
U+B0D0 # HANGUL SYLLABLE NYA
U+B0D1 # HANGUL SYLLABLE NYAG
U+B0D4 # HANGUL SYLLABLE NYAN
U+B0D8 # HANGUL SYLLABLE NYAL
U+B0E0 # HANGUL SYLLABLE NYAM
U+B0E5 # HANGUL SYLLABLE NYANG
U+B108 # HANGUL SYLLABLE NEO
U+B109 # HANGUL SYLLABLE NEOG
U+B10B # HANGUL SYLLABLE NEOGS
U+B10C # HANGUL SYLLABLE NEON
U+B110 # HANGUL SYLLABLE NEOL
U+B112 # HANGUL SYLLABLE NEOLM
U+B113 # HANGUL SYLLABLE NEOLB
U+B118 # HANGUL SYLLABLE NEOM
U+B119 # HANGUL SYLLABLE NEOB
U+B11B # HANGUL SYLLABLE NEOS
U+B11C # HANGUL SYLLABLE NEOSS
U+B11D # HANGUL SYLLABLE NEONG
U+B123 # HANGUL SYLLABLE NEOH
U+B124 # HANGUL SYLLABLE NE
U+B125 # HANGUL SYLLABLE NEG
U+B128 # HANGUL SYLLABLE NEN
U+B12C # HANGUL SYLLABLE NEL
U+B134 # HANGUL SYLLABLE NEM
U+B135 # HANGUL SYLLABLE NEB
U+B137 # HANGUL SYLLABLE NES
U+B138 # HANGUL SYLLABLE NESS
U+B139 # HANGUL SYLLABLE NENG
U+B140 # HANGUL SYLLABLE NYEO
U+B141 # HANGUL SYLLABLE NYEOG
U+B144 # HANGUL SYLLABLE NYEON
U+B148 # HANGUL SYLLABLE NYEOL
U+B150 # HANGUL SYLLABLE NYEOM
U+B151 # HANGUL SYLLABLE NYEOB
U+B154 # HANGUL SYLLABLE NYEOSS
U+B155 # HANGUL SYLLABLE NYEONG
U+B158 # HANGUL SYLLABLE NYEOK
U+B15C # HANGUL SYLLABLE NYE
U+B160 # HANGUL SYLLABLE NYEN
U+B178 # HANGUL SYLLABLE NO
