U+30E0;U+30E0 # KATAKANA LETTER MU
U+30E1;U+30E1 # KATAKANA LETTER ME
U+30E2;U+30E2 # KATAKANA LETTER MO
U+30E3;U+30E3 # KATAKANA LETTER SMALL YA
U+30E4;U+30E4 # KATAKANA LETTER YA
U+30E5;U+30E5 # KATAKANA LETTER SMALL YU
U+30E6;U+30E6 # KATAKANA LETTER YU
U+30E7;U+30E7 # KATAKANA LETTER SMALL YO
U+30E8;U+30E8 # KATAKANA LETTER YO
U+30E9;U+30E9 # KATAKANA LETTER RA
U+30EA;U+30EA # KATAKANA LETTER RI
U+30EB;U+30EB # KATAKANA LETTER RU
U+30EC;U+30EC # KATAKANA LETTER RE
U+30ED;U+53E3 # KATAKANA LETTER RO
U+30EE;U+30EE # KATAKANA LETTER SMALL WA
U+30EF;U+30EF # KATAKANA LETTER WA
U+30F0;U+30F0 # KATAKANA LETTER WI
U+30F1;U+30F1 # KATAKANA LETTER WE
U+30F2;U+30F2 # KATAKANA LETTER WO
U+30F3;U+30F3 # KATAKANA LETTER N
U+30F4;U+30F4 # KATAKANA LETTER VU
U+30F5;U+30F5 # KATAKANA LETTER SMALL KA
U+30F6;U+30F6 # KATAKANA LETTER SMALL KE
U+30FC;U+4E00 # KATAKANA-HIRAGANA PROLONGED SOUND MARK
U+30FD;U+4E36 # KATAKANA ITERATION MARK
U+30FE;U+30FE # KATAKANA VOICED ITERATION MARK
U+4E00;U+4E00 # CJK UNIFIED IDEOGRAPH-4E00
U+4E01;U+4E01 # CJK UNIFIED IDEOGRAPH-4E01
U+4E03;U+4E03 # CJK UNIFIED IDEOGRAPH-4E03
U+4E07;U+4E07 # CJK UNIFIED IDEOGRAPH-4E07
U+4E08;U+4E08 # CJK UNIFIED IDEOGRAPH-4E08
U+4E09;U+4E09 # CJK UNIFIED IDEOGRAPH-4E09
U+4E0A;U+4E0A # CJK UNIFIED IDEOGRAPH-4E0A
U+4E0B;U+4E0B # CJK UNIFIED IDEOGRAPH-4E0B
U+4E0D;U+4E0D # CJK UNIFIED IDEOGRAPH-4E0D
U+4E0E;U+4E0E # CJK UNIFIED IDEOGRAPH-4E0E
U+4E10;U+4E10 # CJK UNIFIED IDEOGRAPH-4E10
U+4E11;U+4E11 # CJK UNIFIED IDEOGRAPH-4E11
U+4E14;U+4E14 # CJK UNIFIED IDEOGRAPH-4E14
U+4E15;U+4E15 # CJK UNIFIED IDEOGRAPH-4E15
U+4E16;U+4E16 # CJK UNIFIED IDEOGRAPH-4E16
U+4E17;U+4E16 # CJK UNIFIED IDEOGRAPH-4E17
U+4E18;U+4E18 # CJK UNIFIED IDEOGRAPH-4E18
U+4E19;U+4E19 # CJK UNIFIED IDEOGRAPH-4E19
U+4E1E;U+4E1E # CJK UNIFIED IDEOGRAPH-4E1E
U+4E21;U+4E24 # CJK UNIFIED IDEOGRAPH-4E21
U+4E26;U+5E76 # CJK UNIFIED IDEOGRAPH-4E26
U+4E2A;U+4E2A # CJK UNIFIED IDEOGRAPH-4E2A
U+4E2D;U+4E2D # CJK UNIFIED IDEOGRAPH-4E2D
U+4E31;U+4E31 # CJK UNIFIED IDEOGRAPH-4E31
U+4E32;U+4E32 # CJK UNIFIED IDEOGRAPH-4E32
U+4E36;U+4E36 # CJK UNIFIED IDEOGRAPH-4E36
U+4E38;U+4E38 # CJK UNIFIED IDEOGRAPH-4E38
U+4E39;U+4E39 # CJK UNIFIED IDEOGRAPH-4E39
U+4E3B;U+4E3B # CJK UNIFIED IDEOGRAPH-4E3B
U+4E3C;U+4E95 # CJK UNIFIED IDEOGRAPH-4E3C
U+4E3F;U+4E3F # CJK UNIFIED IDEOGRAPH-4E3F
U+4E42;U+4E42 # CJK UNIFIED IDEOGRAPH-4E42
U+4E43;U+4E43 # CJK UNIFIED IDEOGRAPH-4E43
U+4E45;U+4E45 # CJK UNIFIED IDEOGRAPH-4E45
U+4E4B;U+4E4B # CJK UNIFIED IDEOGRAPH-4E4B
