#
# IDN Table for Korean
# Copyright 2015 CentralNic Ltd
#
# Table ID: ko
# Table type: Language
# Version: 1.0
# Published: 2011-05-12
# Referral URL: https://www.centralnic.com
#
# Policy Statement:
#
# No remarks.
#

U+ACFB # 곻 HANGUL SYLLABLE GOH
U+ACFC # 과 HANGUL SYLLABLE GWA
U+ACFD # 곽 HANGUL SYLLABLE GWAG
U+ACFE # 곾 HANGUL SYLLABLE GWAGG
U+ACFF # 곿 HANGUL SYLLABLE GWAGS
U+AD00 # 관 HANGUL SYLLABLE GWAN
U+AD01 # 괁 HANGUL SYLLABLE GWANJ
U+AD02 # 괂 HANGUL SYLLABLE GWANH
U+AD03 # 괃 HANGUL SYLLABLE GWAD
U+AD04 # 괄 HANGUL SYLLABLE GWAL
U+AD05 # 괅 HANGUL SYLLABLE GWALG
U+AD06 # 괆 HANGUL SYLLABLE GWALM
U+AD07 # 괇 HANGUL SYLLABLE GWALB
U+AD08 # 괈 HANGUL SYLLABLE GWALS
U+AD09 # 괉 HANGUL SYLLABLE GWALT
U+AD0A # 괊 HANGUL SYLLABLE GWALP
U+AD0B # 괋 HANGUL SYLLABLE GWALH
U+AD0C # 괌 HANGUL SYLLABLE GWAM
U+AD0D # 괍 HANGUL SYLLABLE GWAB
U+AD0E # 괎 HANGUL SYLLABLE GWABS
U+AD0F # 괏 HANGUL SYLLABLE GWAS
U+AD10 # 괐 HANGUL SYLLABLE GWASS
U+AD11 # 광 HANGUL SYLLABLE GWANG
U+AD12 # 괒 HANGUL SYLLABLE GWAJ
U+AD13 # 괓 HANGUL SYLLABLE GWAC
U+AD14 # 괔 HANGUL SYLLABLE GWAK
U+AD15 # 괕 HANGUL SYLLABLE GWAT
U+AD16 # 괖 HANGUL SYLLABLE GWAP
U+AD17 # 괗 HANGUL SYLLABLE GWAH
U+AD18 # 괘 HANGUL SYLLABLE GWAE
U+AD19 # 괙 HANGUL SYLLABLE GWAEG
U+AD1A # 괚 HANGUL SYLLABLE GWAEGG
U+AD1B # 괛 HANGUL SYLLABLE GWAEGS
U+AD1C # 괜 HANGUL SYLLABLE GWAEN
U+AD1D # 괝 HANGUL SYLLABLE GWAENJ
U+AD1E # 괞 HANGUL SYLLABLE GWAENH
U+AD1F # 괟 HANGUL SYLLABLE GWAED
U+AD20 # 괠 HANGUL SYLLABLE GWAEL
U+AD21 # 괡 HANGUL SYLLABLE GWAELG
U+AD22 # 괢 HANGUL SYLLABLE GWAELM
U+AD23 # 괣 HANGUL SYLLABLE GWAELB
U+AD24 # 괤 HANGUL SYLLABLE GWAELS
U+AD25 # 괥 HANGUL SYLLABLE GWAELT
U+AD26 # 괦 HANGUL SYLLABLE GWAELP
U+AD27 # 괧 HANGUL SYLLABLE GWAELH
U+AD28 # 괨 HANGUL SYLLABLE GWAEM
U+AD29 # 괩 HANGUL SYLLABLE GWAEB
U+AD2A # 괪 HANGUL SYLLABLE GWAEBS
U+AD2B # 괫 HANGUL SYLLABLE GWAES
U+AD2C # 괬 HANGUL SYLLABLE GWAESS
U+AD2D # 괭 HANGUL SYLLABLE GWAENG
U+AD2E # 괮 HANGUL SYLLABLE GWAEJ
U+AD2F # 괯 HANGUL SYLLABLE GWAEC
U+AD30 # 괰 HANGUL SYLLABLE GWAEK
U+AD31 # 괱 HANGUL SYLLABLE GWAET
U+AD32 # 괲 HANGUL SYLLABLE GWAEP
U+AD33 # 괳 HANGUL SYLLABLE GWAEH
U+AD34 # 괴 HANGUL SYLLABLE GOE
U+AD35 # 괵 HANGUL SYLLABLE GOEG
U+AD36 # 괶 HANGUL SYLLABLE GOEGG
U+AD37 # 괷 HANGUL SYLLABLE GOEGS
U+AD38 # 괸 HANGUL SYLLABLE GOEN
U+AD39 # 괹 HANGUL SYLLABLE GOENJ
U+AD3A # 괺 HANGUL SYLLABLE GOENH
U+AD3B # 괻 HANGUL SYLLABLE GOED
U+AD3C # 괼 HANGUL SYLLABLE GOEL
U+AD3D # 괽 HANGUL SYLLABLE GOELG
U+AD3E # 괾 HANGUL SYLLABLE GOELM
U+AD3F # 괿 HANGUL SYLLABLE GOELB
U+AD40 # 굀 HANGUL SYLLABLE GOELS
U+AD41 # 굁 HANGUL SYLLABLE GOELT
U+AD42 # 굂 HANGUL SYLLABLE GOELP
U+AD43 # 굃 HANGUL SYLLABLE GOELH
U+AD44 # 굄 HANGUL SYLLABLE GOEM
U+AD45 # 굅 HANGUL SYLLABLE GOEB
U+AD46 # 굆 HANGUL SYLLABLE GOEBS
U+AD47 # 굇 HANGUL SYLLABLE GOES
U+AD48 # 굈 HANGUL SYLLABLE GOESS
U+AD49 # 굉 HANGUL SYLLABLE GOENG
U+AD4A # 굊 HANGUL SYLLABLE GOEJ
U+AD4B # 굋 HANGUL SYLLABLE GOEC
U+AD4C # 굌 HANGUL SYLLABLE GOEK
U+AD4D # 굍 HANGUL SYLLABLE GOET
U+AD4E # 굎 HANGUL SYLLABLE GOEP
U+AD4F # 굏 HANGUL SYLLABLE GOEH
U+AD50 # 교 HANGUL SYLLABLE GYO
U+AD51 # 굑 HANGUL SYLLABLE GYOG
U+AD52 # 굒 HANGUL SYLLABLE GYOGG
U+AD53 # 굓 HANGUL SYLLABLE GYOGS
U+AD54 # 굔 HANGUL SYLLABLE GYON
U+AD55 # 굕 HANGUL SYLLABLE GYONJ
U+AD56 # 굖 HANGUL SYLLABLE GYONH
U+AD57 # 굗 HANGUL SYLLABLE GYOD
U+AD58 # 굘 HANGUL SYLLABLE GYOL
U+AD59 # 굙 HANGUL SYLLABLE GYOLG
U+AD5A # 굚 HANGUL SYLLABLE GYOLM
U+AD5B # 굛 HANGUL SYLLABLE GYOLB
U+AD5C # 굜 HANGUL SYLLABLE GYOLS
U+AD5D # 굝 HANGUL SYLLABLE GYOLT
U+AD5E # 굞 HANGUL SYLLABLE GYOLP
U+AD5F # 굟 HANGUL SYLLABLE GYOLH
U+AD60 # 굠 HANGUL SYLLABLE GYOM
U+AD61 # 굡 HANGUL SYLLABLE GYOB
U+AD62 # 굢 HANGUL SYLLABLE GYOBS
U+AD63 # 굣 HANGUL SYLLABLE GYOS
U+AD64 # 굤 HANGUL SYLLABLE GYOSS
U+AD65 # 굥 HANGUL SYLLABLE GYONG
U+AD66 # 굦 HANGUL SYLLABLE GYOJ
U+AD67 # 굧 HANGUL SYLLABLE GYOC
